nick,civ,wins,losses,games,winrate
aadvanced,Aztecs,1,2,3,0.33
aadvanced,Bengalis,1,1,2,0.50
aadvanced,Berbers,3,1,4,0.75
aadvanced,Bohemians,2,1,3,0.67
aadvanced,Britons,5,3,8,0.62
aadvanced,Bulgarians,1,2,3,0.33
aadvanced,Burgundians,4,1,5,0.80
aadvanced,Byzantines,3,1,4,0.75
aadvanced,Celts,0,2,2,0.00
aadvanced,Dravidians,3,2,5,0.60
aadvanced,Ethiopians,1,1,2,0.50
aadvanced,Franks,3,2,5,0.60
aadvanced,Goths,0,1,1,0.00
aadvanced,Gurjaras,0,3,3,0.00
aadvanced,Hindustanis,3,2,5,0.60
aadvanced,Huns,1,1,2,0.50
aadvanced,Inca,1,1,2,0.50
aadvanced,Italians,3,4,7,0.43
aadvanced,Japanese,3,2,5,0.60
aadvanced,Khmer,1,3,4,0.25
aadvanced,Koreans,6,1,7,0.86
aadvanced,Lithuanians,0,1,1,0.00
aadvanced,Magyars,0,1,1,0.00
aadvanced,Malay,3,0,3,1.00
aadvanced,Malians,2,2,4,0.50
aadvanced,Maya,1,5,6,0.17
aadvanced,Mongols,4,2,6,0.67
aadvanced,Persians,3,2,5,0.60
aadvanced,Poles,4,1,5,0.80
aadvanced,Romans,2,3,5,0.40
aadvanced,Saracens,3,2,5,0.60
aadvanced,Sicilians,2,3,5,0.40
aadvanced,Slavs,3,0,3,1.00
aadvanced,Spanish,1,0,1,1.00
aadvanced,Tatars,3,3,6,0.50
aadvanced,Teutons,6,3,9,0.67
aadvanced,Turks,1,2,3,0.33
aadvanced,Vietnamese,1,3,4,0.25
aadvanced,Vikings,0,3,3,0.00
aquasama7056,Armenians,1,0,1,1.00
aquasama7056,Aztecs,3,2,5,0.60
aquasama7056,Bengalis,3,5,8,0.38
aquasama7056,Berbers,5,1,6,0.83
aquasama7056,Bohemians,5,3,8,0.62
aquasama7056,Britons,1,6,7,0.14
aquasama7056,Bulgarians,3,1,4,0.75
aquasama7056,Burgundians,2,4,6,0.33
aquasama7056,Burmese,1,3,4,0.25
aquasama7056,Byzantines,3,2,5,0.60
aquasama7056,Celts,3,0,3,1.00
