nick,civ,week_start,wins,losses,games,winrate
Dark De Bruyne,Armenians,2024-12-16,1,0,1,1.00
Dark De Bruyne,Armenians,2025-04-14,0,1,1,0.00
Dark De Bruyne,Armenians,2025-04-28,1,3,4,0.25
Dark De Bruyne,Armenians,2025-06-09,0,1,1,0.00
Dark De Bruyne,Armenians,2025-09-08,1,0,1,1.00
Dark De Bruyne,Armenians,2026-01-26,1,0,1,1.00
Dark De Bruyne,Armenians,2026-02-02,0,1,1,0.00
Dark De Bruyne,Armenians,2026-02-09,3,0,3,1.00
Dark De Bruyne,Aztecs,2024-08-26,0,2,2,0.00
Dark De Bruyne,Aztecs,2024-11-04,1,0,1,1.00
Dark De Bruyne,Aztecs,2024-11-25,0,1,1,0.00
Dark De Bruyne,Aztecs,2025-04-07,0,1,1,0.00
Dark De Bruyne,Aztecs,2025-04-14,1,1,2,0.50
Dark De Bruyne,Aztecs,2025-09-15,1,0,1,1.00
Dark De Bruyne,Aztecs,2025-11-10,0,1,1,0.00
Dark De Bruyne,Aztecs,2025-12-22,0,1,1,0.00
Dark De Bruyne,Aztecs,2026-01-26,0,1,1,0.00
Dark De Bruyne,Aztecs,2026-02-23,0,1,1,0.00
Dark De Bruyne,Bengalis,2024-08-26,1,1,2,0.50
Dark De Bruyne,Bengalis,2024-10-07,0,1,1,0.00
Dark De Bruyne,Bengalis,2024-11-25,1,0,1,1.00
Dark De Bruyne,Bengalis,2025-04-07,1,0,1,1.00
Dark De Bruyne,Bengalis,2025-04-28,1,0,1,1.00
Dark De Bruyne,Bengalis,2025-05-26,0,1,1,0.00
Dark De Bruyne,Bengalis,2025-06-30,1,0,1,1.00
Dark De Bruyne,Bengalis,2025-07-14,1,0,1,1.00
Dark De Bruyne,Bengalis,2025-09-08,1,2,3,0.33
Dark De Bruyne,Bengalis,2025-11-17,1,1,2,0.50
Dark De Bruyne,Bengalis,2025-12-22,1,0,1,1.00
Dark De Bruyne,Bengalis,2025-12-29,0,1,1,0.00
Dark De Bruyne,Bengalis,2026-02-16,0,1,1,0.00
Dark De Bruyne,Bengalis,2026-02-23,0,1,1,0.00
Dark De Bruyne,Berbers,2024-07-15,1,0,1,1.00
Dark De Bruyne,Berbers,2024-08-19,1,0,1,1.00
Dark De Bruyne,Berbers,2024-12-23,1,0,1,1.00
Dark De Bruyne,Berbers,2025-01-13,1,0,1,1.00
Dark De Bruyne,Berbers,2025-05-12,1,0,1,1.00
Dark De Bruyne,Berbers,2025-06-30,1,0,1,1.00
Dark De Bruyne,Berbers,2025-07-07,0,1,1,0.00
Dark De Bruyne,Berbers,2025-09-29,0,1,1,0.00
Dark De Bruyne,Berbers,2026-02-02,0,1,1,0.00
Dark De Bruyne,Bohemians,2024-07-29,2,1,3,0.67
Dark De Bruyne,Bohemians,2025-01-20,2,1,3,0.67
Dark De Bruyne,Bohemians,2025-04-28,0,1,1,0.00
Dark De Bruyne,Bohemians,2025-05-26,0,1,1,0.00
Dark De Bruyne,Bohemians,2025-06-02,1,0,1,1.00
Dark De Bruyne,Bohemians,2025-06-30,0,1,1,0.00
Dark De Bruyne,Bohemians,2025-07-07,1,0,1,1.00
Dark De Bruyne,Bohemians,2025-08-04,1,0,1,1.00
Dark De Bruyne,Bohemians,2025-09-15,1,0,1,1.00
Dark De Bruyne,Bohemians,2025-12-22,1,0,1,1.00
Dark De Bruyne,Bohemians,2025-12-29,1,0,1,1.00
Dark De Bruyne,Britons,2024-11-18,1,0,1,1.00
Dark De Bruyne,Britons,2024-12-02,1,0,1,1.00
Dark De Bruyne,Britons,2024-12-16,0,1,1,0.00
Dark De Bruyne,Britons,2024-12-23,0,1,1,0.00
Dark De Bruyne,Britons,2025-03-17,0,1,1,0.00
Dark De Bruyne,Britons,2025-05-12,1,0,1,1.00
Dark De Bruyne,Britons,2025-12-08,0,1,1,0.00
Dark De Bruyne,Britons,2026-01-26,0,1,1,0.00
Dark De Bruyne,Bulgarians,2024-10-07,0,1,1,0.00
Dark De Bruyne,Bulgarians,2024-11-25,0,2,2,0.00
Dark De Bruyne,Bulgarians,2025-03-24,1,0,1,1.00
Dark De Bruyne,Bulgarians,2025-04-28,1,0,1,1.00
Dark De Bruyne,Bulgarians,2025-06-16,0,1,1,0.00
Dark De Bruyne,Bulgarians,2025-06-30,1,1,2,0.50
Dark De Bruyne,Bulgarians,2025-09-15,0,1,1,0.00
Dark De Bruyne,Bulgarians,2025-11-17,0,1,1,0.00
Dark De Bruyne,Bulgarians,2025-12-01,0,1,1,0.00
Dark De Bruyne,Bulgarians,2025-12-08,1,0,1,1.00
Dark De Bruyne,Bulgarians,2025-12-22,0,1,1,0.00
Dark De Bruyne,Bulgarians,2026-01-12,1,0,1,1.00
Dark De Bruyne,Burgundians,2024-09-16,0,1,1,0.00
Dark De Bruyne,Burgundians,2024-09-23,1,1,2,0.50
Dark De Bruyne,Burgundians,2024-12-09,1,0,1,1.00
Dark De Bruyne,Burgundians,2025-01-13,1,0,1,1.00
Dark De Bruyne,Burgundians,2025-06-09,1,0,1,1.00
Dark De Bruyne,Burgundians,2025-10-13,0,1,1,0.00
Dark De Bruyne,Burgundians,2026-01-26,0,1,1,0.00
Dark De Bruyne,Burmese,2025-06-16,0,1,1,0.00
Dark De Bruyne,Burmese,2025-08-04,0,2,2,0.00
Dark De Bruyne,Burmese,2025-09-22,1,0,1,1.00
Dark De Bruyne,Burmese,2025-10-06,1,0,1,1.00
Dark De Bruyne,Burmese,2025-11-03,0,1,1,0.00
Dark De Bruyne,Burmese,2025-12-22,1,1,2,0.50
Dark De Bruyne,Burmese,2025-12-29,1,0,1,1.00
Dark De Bruyne,Burmese,2026-02-16,1,0,1,1.00
Dark De Bruyne,Byzantines,2024-07-29,1,0,1,1.00
Dark De Bruyne,Byzantines,2024-08-26,0,1,1,0.00
Dark De Bruyne,Byzantines,2024-12-02,1,0,1,1.00
Dark De Bruyne,Byzantines,2025-06-23,1,0,1,1.00
Dark De Bruyne,Byzantines,2025-07-21,1,0,1,1.00
Dark De Bruyne,Byzantines,2025-11-24,0,1,1,0.00
Dark De Bruyne,Byzantines,2026-01-19,1,0,1,1.00
Dark De Bruyne,Celts,2024-12-02,1,0,1,1.00
Dark De Bruyne,Celts,2024-12-30,2,0,2,1.00
Dark De Bruyne,Celts,2025-01-13,0,1,1,0.00
Dark De Bruyne,Celts,2025-03-17,1,0,1,1.00
Dark De Bruyne,Celts,2025-05-26,2,1,3,0.67
Dark De Bruyne,Celts,2025-06-09,1,0,1,1.00
Dark De Bruyne,Celts,2025-11-03,1,0,1,1.00
Dark De Bruyne,Celts,2026-02-23,0,1,1,0.00
Dark De Bruyne,Chinese,2024-08-26,1,0,1,1.00
Dark De Bruyne,Chinese,2025-01-13,0,1,1,0.00
Dark De Bruyne,Chinese,2025-03-24,1,0,1,1.00
Dark De Bruyne,Chinese,2025-04-07,0,1,1,0.00
Dark De Bruyne,Chinese,2025-04-28,1,1,2,0.50
Dark De Bruyne,Chinese,2025-07-07,0,1,1,0.00
Dark De Bruyne,Chinese,2025-11-17,1,0,1,1.00
Dark De Bruyne,Cumans,2024-07-08,0,1,1,0.00
