"user_id","nick","aoe2_name","profile_id","country"
238042803093897216,fenrir05,Fenrir,209754,us
354347153201692694,MuttonKuska,mutton_kuska,4984526,in
435111409320198167,Dark De Bruyne,Dark_Knight,2441496,
465835842808709120,drgameher,DrGameHer,5859931,in
503759402206101545,newisyou,newisyou,572601,hk
509251341105889280,Shadeslayer,Shadeslayer II,1590954,de
511604233267707925,feedertony,feederTony,3695055,in
581434797117669386,I'm Dead Guyzzz...,vetrierai,15431072,in
622810653878648873,ddk,ddk220,612690,us
624851963393343488,rusher,RusheR,18419878,in
649505118152294421,tyPo Fan,Arkantos12,1314165,ae
695309066771365970,thelivi,Mr.Livi,17841676,in
715923016412037221,Gajini,Gajini,2083497,in
716317624790679613,wallandboom,WallAndBoom,4843062,in
786488329864478751,guruGreatest,GuruGreatest,12297184,in
828672992976437267,sundar7238,Maximus,2838261,in
850996190282776577,bearknightman,KIT WALKER,5771336,
929739899089862657,TiShi,TiShi,2876149,in
1010781418458206329,tyPo,mutanT,3937482,in
1033770965127135333,M1k3,M1k3 Chan!,7992697,in
1104364176668905622,tokenbadteam,Baby,4434290,
1164596393650954311,Kaipullae,Kaipullae,5925393,in
284337490712592386,srinimama,,,,
284349270151397376,guerrillawarfare2,,,,
295006655702237184,ninjavarier,ninjavarier,2669967,in
328978193312776212,xpm0083,,,,
354904864066764804,centurion12,centurion,2093241,in
354990093980663809,zasz,,,,
358570022400032768,lucky23,,,,
375673637887410177,ImVaibhav,,,,
458557005385302026,aadvanced,,,,
463259002596360203,trush25,,,,
469499463640023051,dosa7368,,,,
527532506153615360,aquasama7056,,,,
797796953269338133,stylishsteam,Ste@|\/|,3446474,
