aoe2_match_id,profile_id,bytes,save_version,body_ops,minutes,body_parse_ok,error
476727192,12297184,3582395,67.2,103758,47.4,True,
473312026,4984526,4338467,67.2,197287,43.6,True,
473308945,3937482,2652057,67.2,86937,17.0,True,
471559381,1770168,5125448,67.2,217026,77.9,True,
471535468,2083497,2081433,67.2,23438,6.5,True,
471530675,2083497,2960043,67.2,107366,27.0,True,
469833036,2083497,4053369,67.2,175913,48.2,True,
468123644,2083497,3189403,67.2,126833,32.0,True,
468083726,2083497,3397084,67.2,124914,51.6,True,
464744922,3937482,1471659,67.2,1201,0.3,True,
464741221,3937482,3454200,67.2,136342,40.1,True,
464484544,612690,3131824,67.2,112623,39.1,True,
464475694,3937482,4168448,67.2,173187,62.2,True,
463127806,12297184,4685392,67.2,193008,74.0,True,
462909184,15431072,4216029,67.2,179714,62.7,True,
462851294,2083497,3423868,67.2,129117,47.2,True,
462837234,,0,,0,0,False,http_404
461568368,4843062,3155103,67.2,123503,25.4,True,
461560118,2083497,4184586,67.2,172363,65.6,True,
461553819,18419878,4339121,67.2,188239,56.9,True,
461546974,2083497,4498512,67.2,201338,59.7,True,
461525554,2704967,3679618,67.2,162061,36.6,True,
461517245,3153454,4847052,67.2,225197,72.2,True,
461386931,2083497,4597131,67.2,204901,66.7,True,
461366389,2083497,4631783,67.2,213197,62.2,True,
461358066,2876149,4464539,67.2,218610,53.3,True,
461347963,2083497,4045138,67.2,173875,53.2,True,
460010061,12297184,3722905,67.2,156144,41.5,True,
460002527,612690,3301422,67.2,122047,44.0,True,
459993088,4434290,3350180,67.2,123329,42.1,True,
459980088,7992697,3745513,67.2,177898,54.3,True,
459932724,2083497,3539323,67.2,128931,55.5,True,
459926578,2083497,3321660,67.2,116592,48.3,True,
459920352,209754,3598624,67.2,136089,50.9,True,
459912029,17841676,4417663,67.2,190039,62.9,True,
459906451,1590954,3224910,67.2,109513,49.4,True,
459900302,7499537,3674846,67.2,141724,60.1,True,
459893658,1314165,3623866,67.2,136722,53.2,True,
459766713,612690,4513947,67.2,190235,71.8,True,
459751490,12297184,4584180,67.2,189258,72.1,True,
459743384,1590954,3934153,67.2,172718,38.4,True,
459733523,612690,4006378,67.2,169046,54.2,True,
459724241,17841676,3449355,67.2,132309,50.5,True,
459716155,7499537,3431919,67.2,114156,61.6,True,
459705240,7992697,4668006,67.2,220162,62.1,True,
459632053,2083497,3102563,67.2,95173,52.5,True,
459620287,2876149,4838453,67.2,222852,62.6,True,
459615980,612690,3709458,67.2,156702,46.3,True,
459606348,2441496,4696294,67.2,196840,84.1,True,
459601160,612690,3702172,67.2,142519,54.2,True,
459593121,612690,3935751,67.2,162136,55.7,True,
459456101,3937482,3979710,67.2,142299,69.9,True,
459448197,3937482,3143847,67.2,97112,47.6,True,
459439606,7992697,3360913,67.2,113264,50.3,True,
458309908,15431072,4869165,67.2,206928,73.6,True,
458294903,15431072,3701071,67.2,152343,43.6,True,
458283909,3937482,4645057,67.2,221399,50.0,True,
458266377,3937482,4665123,67.2,180029,83.6,True,
458257733,18419878,2964107,67.2,99297,41.4,True,
458212956,2093241,3349320,67.2,115881,54.6,True,
458187838,,0,,0,0,False,http_404
458179503,2083497,3545717,67.2,134549,50.4,True,
458172897,2083497,3479974,67.2,130984,51.2,True,
458166277,7992697,4178322,67.2,177344,55.8,True,
458162022,612690,3524712,67.2,137281,44.4,True,
458156131,12297184,3784645,67.2,140430,58.3,True,
458149252,2083497,3688971,67.2,138404,55.4,True,
458142735,3937482,3670102,67.2,133107,56.2,True,
458132408,2093241,4173032,67.2,159147,77.8,True,
457992530,2441496,3672645,67.2,152515,43.9,True,
457971848,15431072,3981980,67.2,165507,52.6,True,
457959226,3937482,4273743,67.2,182089,62.8,True,
457946275,3937482,3253101,67.2,110400,55.5,True,
457874995,3937482,3220777,67.2,141886,52.2,True,
457835434,2083497,2567688,67.2,96590,42.5,True,
457695733,4843062,4301639,67.2,217275,68.0,True,
457673488,15431072,3893997,67.2,143793,63.6,True,
457662092,15431072,3814161,67.2,147848,64.7,True,
456438697,2838261,4189070,66.6,196210,44.7,True,
456427616,4984526,4022146,66.6,182040,45.6,True,
456337987,7992697,3086647,66.6,98990,56.8,True,
456332419,572601,3170973,66.6,114185,49.6,True,
456327938,3937482,3071120,66.6,119534,36.5,True,
456318366,612690,3150895,66.6,107779,55.0,True,
456313465,12297184,3139601,66.6,109797,53.9,True,
456309289,4322802,2897132,66.6,93920,40.8,True,
456304503,612690,2883325,66.6,91138,45.3,True,
456297769,2093241,5907797,66.6,189795,60.6,True,
456187911,2441496,6290742,66.6,311059,95.9,True,
456177017,7992697,3220355,66.6,111739,56.1,True,
456169696,3446474,2944964,66.6,104069,42.5,True,
456162438,3153454,3830147,66.6,169429,42.6,True,
456150579,7992697,3696966,66.6,124697,73.4,True,
456139447,2838261,4548966,66.6,217012,55.5,True,
456128418,7992697,3097440,66.6,103775,53.1,True,
456076498,2093241,3885685,66.6,183625,82.3,True,
456040075,2083497,3640455,66.6,152320,51.4,True,
456034239,2441496,3470509,66.6,144700,45.9,True,
454768637,1314165,4377216,66.6,203504,59.2,True,
454744037,7992697,3421842,66.6,128970,49.4,True,
454733714,12297184,3100969,66.6,109041,50.9,True,
454721677,612690,3487081,66.6,120648,61.9,True,
454694453,2876149,2453673,66.6,72682,35.9,True,
454683277,2876149,3062226,66.6,103034,57.9,True,
454673662,17841676,3076243,66.6,108591,52.1,True,
454665886,,0,,0,0,False,http_404
454491097,15431072,3854266,66.6,165156,54.4,True,
454480615,612690,3196360,66.6,123240,35.8,True,
454470002,1590954,3890126,66.6,169507,47.8,True,
454456996,4984526,4340300,66.6,189747,61.3,True,
454446261,12297184,3381578,66.6,139417,40.5,True,
454436143,1590954,3356900,66.6,120079,53.8,True,
454420651,2083497,4571519,66.6,191919,48.8,True,
454178568,7992697,3398636,66.6,116842,55.1,True,
454160744,15431072,4173263,66.6,181359,55.1,True,
453009314,,0,,0,0,False,http_404
452998490,7992697,4075832,66.6,180970,46.9,True,
452925826,2093241,3819525,66.6,154827,59.5,True,
452893008,1314165,3666371,66.6,147103,52.2,True,
452886896,2441496,2793576,66.6,88724,43.3,True,
452879770,7992697,2758216,66.6,86978,49.1,True,
452875154,612690,2781902,66.6,91446,37.1,True,
452856868,2441496,3113424,66.6,112796,48.2,True,
452851337,612690,3563089,66.6,151298,46.8,True,
452843747,2093241,3886487,66.6,168582,52.3,True,
452717511,2838261,4057895,66.6,186666,53.0,True,
452701778,5859931,5010060,66.6,239981,73.0,True,
452690043,2083497,4005118,66.6,179094,50.2,True,
